Comunidad autónoma de residencia	Tipo de dato	Gastos totales, medios, distribución e índice	Periodo	Total
Total Nacional	Dato base	Gasto total	2020	0000000508.738.158,54
Total Nacional	Dato base	Gasto total	2019	566.814.579,02
Total Nacional	Dato base	Gasto total	2018	556.432.591,36
Total Nacional	Dato base	Gasto total	2017	540.347.372,65
Total Nacional	Dato base	Gasto total	2016	520.119.184,84
Total Nacional	Dato base	Gasto total	2015	504.799.278,82
Total Nacional	Dato base	Gasto total	2014	495.829.907,07
Total Nacional	Dato base	Gasto total	2013	494.475.216,24
Total Nacional	Dato base	Gasto total	2012	510.135.497,64
Total Nacional	Dato base	Gasto total	2011	522.381.241,02
Total Nacional	Dato base	Gasto total	2010	520.370.766,11
Total Nacional	Dato base	Gasto total	2009	525.788.850
Total Nacional	Dato base	Gasto total	2008	542.287.056,21
Total Nacional	Dato base	Gasto total	2007	527.605.852,54
Total Nacional	Dato base	Gasto total	2006	489.904.060,34
Total Nacional	Dato base	Distribución porcentual	2020	100
Total Nacional	Dato base	Distribución porcentual	2019	100
Total Nacional	Dato base	Distribución porcentual	2018	100
Total Nacional	Dato base	Distribución porcentual	2017	100
Total Nacional	Dato base	Distribución porcentual	2016	100
Total Nacional	Dato base	Distribución porcentual	2015	100
Total Nacional	Dato base	Distribución porcentual	2014	100
Total Nacional	Dato base	Distribución porcentual	2013	100
Total Nacional	Dato base	Distribución porcentual	2012	100
Total Nacional	Dato base	Distribución porcentual	2011	100
Total Nacional	Dato base	Distribución porcentual	2010	100
Total Nacional	Dato base	Distribución porcentual	2009	100
Total Nacional	Dato base	Distribución porcentual	2008	100
Total Nacional	Dato base	Distribución porcentual	2007	100
Total Nacional	Dato base	Distribución porcentual	2006	100
Total Nacional	Dato base	Gasto medio por hogar	2020	26.995,76
Total Nacional	Dato base	Gasto medio por hogar	2019	30.242,76
Total Nacional	Dato base	Gasto medio por hogar	2018	29.871,28
Total Nacional	Dato base	Gasto medio por hogar	2017	29.188,19
Total Nacional	Dato base	Gasto medio por hogar	2016	28.199,88
Total Nacional	Dato base	Gasto medio por hogar	2015	27.473,04
Total Nacional	Dato base	Gasto medio por hogar	2014	27.089,83
Total Nacional	Dato base	Gasto medio por hogar	2013	27.150,75
Total Nacional	Dato base	Gasto medio por hogar	2012	28.197
Total Nacional	Dato base	Gasto medio por hogar	2011	29.187
Total Nacional	Dato base	Gasto medio por hogar	2010	29.492,15
Total Nacional	Dato base	Gasto medio por hogar	2009	30.245,09
Total Nacional	Dato base	Gasto medio por hogar	2008	31.772,62
Total Nacional	Dato base	Gasto medio por hogar	2007	31.701,36
Total Nacional	Dato base	Gasto medio por hogar	2006	30.278,78
Total Nacional	Dato base	Gasto medio por persona	2020	10.848,22
Total Nacional	Dato base	Gasto medio por persona	2019	12.151,5
Total Nacional	Dato base	Gasto medio por persona	2018	12.018,94
Total Nacional	Dato base	Gasto medio por persona	2017	11.726,36
Total Nacional	Dato base	Gasto medio por persona	2016	11.312,41
Total Nacional	Dato base	Gasto medio por persona	2015	10.981,77
Total Nacional	Dato base	Gasto medio por persona	2014	10.780,1
Total Nacional	Dato base	Gasto medio por persona	2013	10.715,52
Total Nacional	Dato base	Gasto medio por persona	2012	11.012,21
Total Nacional	Dato base	Gasto medio por persona	2011	11.280,88
Total Nacional	Dato base	Gasto medio por persona	2010	11.275,86
Total Nacional	Dato base	Gasto medio por persona	2009	11.439,02
Total Nacional	Dato base	Gasto medio por persona	2008	11.895,05
Total Nacional	Dato base	Gasto medio por persona	2007	11.757,59
Total Nacional	Dato base	Gasto medio por persona	2006	11.127,92
Total Nacional	Dato base	Gasto medio por unidad de consumo	2020	16.058,45
Total Nacional	Dato base	Gasto medio por unidad de consumo	2019	18.006,12
Total Nacional	Dato base	Gasto medio por unidad de consumo	2018	17.813,9
Total Nacional	Dato base	Gasto medio por unidad de consumo	2017	17.399,71
Total Nacional	Dato base	Gasto medio por unidad de consumo	2016	16.802,54
Total Nacional	Dato base	Gasto medio por unidad de consumo	2015	16.326,71
Total Nacional	Dato base	Gasto medio por unidad de consumo	2014	16.054,29
Total Nacional	Dato base	Gasto medio por unidad de consumo	2013	15.995,79
Total Nacional	Dato base	Gasto medio por unidad de consumo	2012	16.492,14
Total Nacional	Dato base	Gasto medio por unidad de consumo	2011	16.944,73
Total Nacional	Dato base	Gasto medio por unidad de consumo	2010	16.977,63
Total Nacional	Dato base	Gasto medio por unidad de consumo	2009	17.269,01
Total Nacional	Dato base	Gasto medio por unidad de consumo	2008	18.002,54
Total Nacional	Dato base	Gasto medio por unidad de consumo	2007	17.835,71
Total Nacional	Dato base	Gasto medio por unidad de consumo	2006	16.920,78
Total Nacional	Dato base	Índice sobre la media del gmp	2020	100
Total Nacional	Dato base	Índice sobre la media del gmp	2019	100
Total Nacional	Dato base	Índice sobre la media del gmp	2018	100
Total Nacional	Dato base	Índice sobre la media del gmp	2017	100
Total Nacional	Dato base	Índice sobre la media del gmp	2016	100
Total Nacional	Dato base	Índice sobre la media del gmp	2015	100
Total Nacional	Dato base	Índice sobre la media del gmp	2014	100
Total Nacional	Dato base	Índice sobre la media del gmp	2013	100
Total Nacional	Dato base	Índice sobre la media del gmp	2012	100
Total Nacional	Dato base	Índice sobre la media del gmp	2011	100
Total Nacional	Dato base	Índice sobre la media del gmp	2010	100
Total Nacional	Dato base	Índice sobre la media del gmp	2009	100
Total Nacional	Dato base	Índice sobre la media del gmp	2008	100
Total Nacional	Dato base	Índice sobre la media del gmp	2007	100
Total Nacional	Dato base	Índice sobre la media del gmp	2006	100
Total Nacional	Variación respecto al año anterior	Gasto total	2020	-10,2
Total Nacional	Variación respecto al año anterior	Gasto total	2019	1,9
Total Nacional	Variación respecto al año anterior	Gasto total	2018	3
Total Nacional	Variación respecto al año anterior	Gasto total	2017	3,9
Total Nacional	Variación respecto al año anterior	Gasto total	2016	3
Total Nacional	Variación respecto al año anterior	Gasto total	2015	1,8
Total Nacional	Variación respecto al año anterior	Gasto total	2014	0,3
Total Nacional	Variación respecto al año anterior	Gasto total	2013	-3,1
Total Nacional	Variación respecto al año anterior	Gasto total	2012	-2,3
Total Nacional	Variación respecto al año anterior	Gasto total	2011	0,4
Total Nacional	Variación respecto al año anterior	Gasto total	2010	-1
Total Nacional	Variación respecto al año anterior	Gasto total	2009	-3
Total Nacional	Variación respecto al año anterior	Gasto total	2008	2,8
Total Nacional	Variación respecto al año anterior	Gasto total	2007	7,7
Total Nacional	Variación respecto al año anterior	Gasto total	2006	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2020	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2019	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2018	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2017	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2016	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2015	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2014	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2013	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2012	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2011	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2010	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2009	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2008	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2007	""
Total Nacional	Variación respecto al año anterior	Distribución porcentual	2006	""
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2020	-10,7
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2019	1,2
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2018	2,3
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2017	3,5
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2016	2,6
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2015	1,4
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2014	-0,2
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2013	-3,7
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2012	-3,4
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2011	-1
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2010	-2,5
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2009	-4,8
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2008	0,2
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2007	4,7
Total Nacional	Variación respecto al año anterior	Gasto medio por hogar	2006	""
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2020	-10,7
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2019	1,1
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2018	2,5
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2017	3,7
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2016	3
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2015	1,9
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2014	0,6
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2013	-2,7
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2012	-2,4
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2011	0
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2010	-1,4
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2009	-3,8
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2008	1,2
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2007	5,7
Total Nacional	Variación respecto al año anterior	Gasto medio por persona	2006	""
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2020	-10,8
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2019	1,1
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2018	2,4
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2017	3,6
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2016	2,9
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2015	1,7
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2014	0,4
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2013	-3
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2012	-2,7
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2011	-0,2
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2010	-1,7
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2009	-4,1
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2008	0,9
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2007	5,4
Total Nacional	Variación respecto al año anterior	Gasto medio por unidad de consumo	2006	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2020	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2019	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2018	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2017	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2016	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2015	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2014	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2013	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2012	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2011	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2010	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2009	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2008	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2007	""
Total Nacional	Variación respecto al año anterior	Índice sobre la media del gmp	2006	""
Total Nacional	Variación respecto al año base	Gasto total	2020	3,8
Total Nacional	Variación respecto al año base	Gasto total	2019	15,7
Total Nacional	Variación respecto al año base	Gasto total	2018	13,6
Total Nacional	Variación respecto al año base	Gasto total	2017	10,3
Total Nacional	Variación respecto al año base	Gasto total	2016	6,2
Total Nacional	Variación respecto al año base	Gasto total	2015	3
Total Nacional	Variación respecto al año base	Gasto total	2014	1,2
Total Nacional	Variación respecto al año base	Gasto total	2013	0,9
Total Nacional	Variación respecto al año base	Gasto total	2012	4,1
Total Nacional	Variación respecto al año base	Gasto total	2011	6,6
Total Nacional	Variación respecto al año base	Gasto total	2010	6,2
Total Nacional	Variación respecto al año base	Gasto total	2009	7,3
Total Nacional	Variación respecto al año base	Gasto total	2008	10,7
Total Nacional	Variación respecto al año base	Gasto total	2007	7,7
Total Nacional	Variación respecto al año base	Gasto total	2006	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2020	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2019	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2018	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2017	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2016	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2015	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2014	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2013	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2012	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2011	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2010	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2009	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2008	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2007	""
Total Nacional	Variación respecto al año base	Distribución porcentual	2006	""
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2020	-10,8
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2019	-0,1
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2018	-1,3
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2017	-3,6
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2016	-6,9
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2015	-9,3
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2014	-10,5
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2013	-10,3
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2012	-6,9
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2011	-3,6
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2010	-2,6
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2009	-0,1
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2008	4,9
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2007	4,7
Total Nacional	Variación respecto al año base	Gasto medio por hogar	2006	""
Total Nacional	Variación respecto al año base	Gasto medio por persona	2020	-2,5
Total Nacional	Variación respecto al año base	Gasto medio por persona	2019	9,2
Total Nacional	Variación respecto al año base	Gasto medio por persona	2018	8
Total Nacional	Variación respecto al año base	Gasto medio por persona	2017	5,4
Total Nacional	Variación respecto al año base	Gasto medio por persona	2016	1,7
Total Nacional	Variación respecto al año base	Gasto medio por persona	2015	-1,3
Total Nacional	Variación respecto al año base	Gasto medio por persona	2014	-3,1
Total Nacional	Variación respecto al año base	Gasto medio por persona	2013	-3,7
Total Nacional	Variación respecto al año base	Gasto medio por persona	2012	-1
Total Nacional	Variación respecto al año base	Gasto medio por persona	2011	1,4
Total Nacional	Variación respecto al año base	Gasto medio por persona	2010	1,3
Total Nacional	Variación respecto al año base	Gasto medio por persona	2009	2,8
Total Nacional	Variación respecto al año base	Gasto medio por persona	2008	6,9
Total Nacional	Variación respecto al año base	Gasto medio por persona	2007	5,7
Total Nacional	Variación respecto al año base	Gasto medio por persona	2006	""
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2020	-5,1
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2019	6,4
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2018	5,3
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2017	2,8
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2016	-0,7
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2015	-3,5
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2014	-5,1
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2013	-5,5
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2012	-2,5
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2011	0,1
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2010	0,3
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2009	2,1
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2008	6,4
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2007	5,4
Total Nacional	Variación respecto al año base	Gasto medio por unidad de consumo	2006	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2020	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2019	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2018	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2017	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2016	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2015	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2014	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2013	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2012	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2011	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2010	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2009	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2008	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2007	""
Total Nacional	Variación respecto al año base	Índice sobre la media del gmp	2006	""
01 Andalucía	Dato base	Gasto total	2020	79.145.656,69
01 Andalucía	Dato base	Gasto total	2019	88.952.733,03
01 Andalucía	Dato base	Gasto total	2018	90.365.143,19
01 Andalucía	Dato base	Gasto total	2017	88.109.140,74
01 Andalucía	Dato base	Gasto total	2016	82.830.738,01
01 Andalucía	Dato base	Gasto total	2015	77.718.706,83
01 Andalucía	Dato base	Gasto total	2014	77.155.542,1
01 Andalucía	Dato base	Gasto total	2013	76.328.492,76
01 Andalucía	Dato base	Gasto total	2012	79.500.700,4
01 Andalucía	Dato base	Gasto total	2011	83.218.256,02
01 Andalucía	Dato base	Gasto total	2010	84.143.340,95
01 Andalucía	Dato base	Gasto total	2009	84.152.140,43
01 Andalucía	Dato base	Gasto total	2008	87.610.900,57
01 Andalucía	Dato base	Gasto total	2007	83.756.062,51
01 Andalucía	Dato base	Gasto total	2006	77.592.170
01 Andalucía	Dato base	Distribución porcentual	2020	15,56
01 Andalucía	Dato base	Distribución porcentual	2019	15,69
01 Andalucía	Dato base	Distribución porcentual	2018	16,24
01 Andalucía	Dato base	Distribución porcentual	2017	16,31
01 Andalucía	Dato base	Distribución porcentual	2016	15,93
01 Andalucía	Dato base	Distribución porcentual	2015	15,4
01 Andalucía	Dato base	Distribución porcentual	2014	15,56
01 Andalucía	Dato base	Distribución porcentual	2013	15,44
01 Andalucía	Dato base	Distribución porcentual	2012	15,58
01 Andalucía	Dato base	Distribución porcentual	2011	15,93
01 Andalucía	Dato base	Distribución porcentual	2010	16,17
01 Andalucía	Dato base	Distribución porcentual	2009	16
01 Andalucía	Dato base	Distribución porcentual	2008	16,16
01 Andalucía	Dato base	Distribución porcentual	2007	15,87
01 Andalucía	Dato base	Distribución porcentual	2006	15,84
01 Andalucía	Dato base	Gasto medio por hogar	2020	24.279,43
01 Andalucía	Dato base	Gasto medio por hogar	2019	27.532,66
01 Andalucía	Dato base	Gasto medio por hogar	2018	28.065,66
01 Andalucía	Dato base	Gasto medio por hogar	2017	27.455,86
01 Andalucía	Dato base	Gasto medio por hogar	2016	25.877,94
01 Andalucía	Dato base	Gasto medio por hogar	2015	24.396,54
01 Andalucía	Dato base	Gasto medio por hogar	2014	24.388,32
01 Andalucía	Dato base	Gasto medio por hogar	2013	24.349,51
01 Andalucía	Dato base	Gasto medio por hogar	2012	25.642,98
01 Andalucía	Dato base	Gasto medio por hogar	2011	27.203,92
01 Andalucía	Dato base	Gasto medio por hogar	2010	27.957,47
01 Andalucía	Dato base	Gasto medio por hogar	2009	28.454,88
01 Andalucía	Dato base	Gasto medio por hogar	2008	30.212,72
01 Andalucía	Dato base	Gasto medio por hogar	2007	29.595,55
01 Andalucía	Dato base	Gasto medio por hogar	2006	28.154,16
01 Andalucía	Dato base	Gasto medio por persona	2020	9.392,47
01 Andalucía	Dato base	Gasto medio por persona	2019	10.602,7
01 Andalucía	Dato base	Gasto medio por persona	2018	10.819,08
01 Andalucía	Dato base	Gasto medio por persona	2017	10.555,12
01 Andalucía	Dato base	Gasto medio por persona	2016	9.925,44
01 Andalucía	Dato base	Gasto medio por persona	2015	9.314,44
01 Andalucía	Dato base	Gasto medio por persona	2014	9.256,56
01 Andalucía	Dato base	Gasto medio por persona	2013	9.160,16
01 Andalucía	Dato base	Gasto medio por persona	2012	9.546,42
01 Andalucía	Dato base	Gasto medio por persona	2011	10.027,56
01 Andalucía	Dato base	Gasto medio por persona	2010	10.199,38
01 Andalucía	Dato base	Gasto medio por persona	2009	10.270,88
01 Andalucía	Dato base	Gasto medio por persona	2008	10.790,99
01 Andalucía	Dato base	Gasto medio por persona	2007	10.460,01
01 Andalucía	Dato base	Gasto medio por persona	2006	9.846,48
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2020	14.107,05
01 Andalucía	Dato base	Gasto medio por unidad de consumo	2019	15.951,61
